County,2018_per_capita_personal_income
Aitkin,39780
Anoka,51258
Becker,47272
Beltrami,41565
Benton,43830
Big Stone,57221
Blue Earth,44383
Brown,52995
Carlton,43098
Carver,71350
Cass,47443
Chippewa,49836
Chisago,48750
Clay,43180
Clearwater,44001
Cook,55319
Cottonwood,47982
Crow Wing,45610
Dakota,60651
Dodge,47984
Douglas,53665
Faribault,43343
Fillmore,45378
Freeborn,45808
Goodhue,53549
Grant,52556
Hennepin,74698
Houston,52354
Hubbard,43235
Isanti,44049
Itasca,43685
Jackson,53276
Kanabec,42509
Kandiyohi,54667
Kittson,55597
Koochiching,41890
Lac qui Parle,55688
Lake,48132
Lake of the Woods,57357
Le Sueur,48799
Lincoln,48520
Lyon,49455
McLeod,49136
Mahnomen,36950
Marshall,51509
Martin,50083
Meeker,43944
Mille Lacs,41582
Morrison,42568
Mower,48423
Murray,54825
Nicollet,49605
Nobles,45100
Norman,44254
Olmsted,58554
Otter Tail,48275
Pennington,55399
Pine,37067
Pipestone,58004
Polk,48820
Pope,52091
Ramsey,54934
Red Lake,51750
Redwood,49732
Renville,51432
Rice,44096
Rock,51956
Roseau,51307
St. Louis,47417
Scott,59687
Sherburne,47031
Sibley,46632
Stearns,47196
Steele,47604
Stevens,49913
Swift,51320
Todd,42005
Traverse,61255
Wabasha,48724
Wadena,39746
Waseca,44556
Washington,67928
Watonwan,42979
Wilkin,59516
Winona,50036
Wright,50181
Yellow Medicine,57186
