,countyServed,analyteCode,year,mean_unit,waterSource,mean_value,max_value,populationServed,fips
0,Aitkin,Arsenic,1998,ug/L,Groundwater,2.75,2.833333333,887.3333333,27001
1,Aitkin,Arsenic,1999,ug/L,Groundwater,2.8175,2.88,707.25,27001
2,Aitkin,Arsenic,2001,ug/L,Groundwater,2.8175,2.88,707.25,27001
3,Aitkin,Arsenic,2002,ug/L,Groundwater,2.71,2.7325,707.25,27001
4,Aitkin,Arsenic,2003,ug/L,Groundwater,2.71,2.7325,707.25,27001
5,Aitkin,Arsenic,2004,ug/L,Groundwater,3.067777778,3.087777778,672.4444444,27001
6,Aitkin,Arsenic,2005,ug/L,Groundwater,3.07,3.088,644.6,27001
7,Aitkin,Arsenic,2007,ug/L,Groundwater,3.07,3.088,644.6,27001
8,Aitkin,Arsenic,2008,ug/L,Groundwater,3.134,3.152,644.6,27001
9,Aitkin,Arsenic,2009,ug/L,Groundwater,3.134,3.152,644.6,27001
10,Aitkin,Arsenic,2010,ug/L,Groundwater,3.25,3.276,644.6,27001
11,Aitkin,Arsenic,2011,ug/L,Groundwater,3.25,3.276,644.6,27001
12,Aitkin,Arsenic,2013,ug/L,Groundwater,3.04,3.066,644.6,27001
13,Aitkin,Arsenic,2014,ug/L,Groundwater,2.99,3.016,644.6,27001
14,Aitkin,Arsenic,2015,ug/L,Groundwater,3.498333333,3.598333333,541.3333333,27001
15,Aitkin,Arsenic,2016,ug/L,Groundwater,3.373333333,3.516666667,541.3333333,27001
16,Aitkin,Arsenic,2017,ug/L,Groundwater,3.373333333,3.516666667,571.6666667,27001
17,Aitkin,HAA5,2004,ug/L,Groundwater,12.14,12.14,398.8,27001
18,Aitkin,HAA5,2005,ug/L,Groundwater,4.316666667,4.316666667,398,27001
19,Aitkin,HAA5,2007,ug/L,Groundwater,9.1,9.1,398,27001
20,Aitkin,HAA5,2008,ug/L,Groundwater,9.1,9.1,398,27001
21,Aitkin,HAA5,2009,ug/L,Groundwater,9.983333333,9.983333333,398,27001
22,Aitkin,HAA5,2010,ug/L,Groundwater,7.1,7.1,794.5,27001
23,Aitkin,HAA5,2011,ug/L,Groundwater,5.825,5.825,794.5,27001
24,Aitkin,HAA5,2013,ug/L,Groundwater,3.625,3.625,794.5,27001
25,Aitkin,HAA5,2014,ug/L,Groundwater,4.075,4.075,794.5,27001
26,Aitkin,HAA5,2015,ug/L,Groundwater,3.625,3.625,794.5,27001
27,Aitkin,HAA5,2016,ug/L,Groundwater,2.475,2.475,840,27001
28,Aitkin,HAA5,2017,ug/L,Groundwater,2.275,2.275,840,27001
29,Aitkin,Nitrate,1998,mg/L,Groundwater,0.03,0.03,570.8,27001
30,Aitkin,Nitrate,1999,mg/L,Groundwater,0.036,0.042,570.8,27001
31,Aitkin,Nitrate,2001,mg/L,Groundwater,0.03,0.03,570.8,27001
32,Aitkin,Nitrate,2002,mg/L,Groundwater,0.03,0.03,570.8,27001
33,Aitkin,Nitrate,2003,mg/L,Groundwater,0.03,0.03,570.8,27001
34,Aitkin,Nitrate,2004,mg/L,Groundwater,0.03,0.03,541.3333333,27001
35,Aitkin,Nitrate,2005,mg/L,Groundwater,0.03,0.03,541.3333333,27001
36,Aitkin,Nitrate,2007,mg/L,Groundwater,0.03,0.03,541.3333333,27001
37,Aitkin,Nitrate,2008,mg/L,Groundwater,0.03,0.03,541.3333333,27001
38,Aitkin,Nitrate,2009,mg/L,Groundwater,0.03,0.03,541.3333333,27001
39,Aitkin,Nitrate,2010,mg/L,Groundwater,0.03,0.03,541.3333333,27001
40,Aitkin,Nitrate,2011,mg/L,Groundwater,0.03,0.03,541.3333333,27001
41,Aitkin,Nitrate,2013,mg/L,Groundwater,0.03,0.03,541.3333333,27001
42,Aitkin,Nitrate,2014,mg/L,Groundwater,0.03,0.03,541.3333333,27001
43,Aitkin,Nitrate,2015,mg/L,Groundwater,0.03,0.03,541.3333333,27001
44,Aitkin,Nitrate,2016,mg/L,Groundwater,0.025,0.025,541.3333333,27001
45,Aitkin,Nitrate,2017,mg/L,Groundwater,0.025,0.025,571.6666667,27001
46,Aitkin,PCE,1999,ug/L,Groundwater,0.275,0.65,719.25,27001
47,Aitkin,PCE,2000,ug/L,Groundwater,0.2,0.2,609,27001
48,Aitkin,PCE,2001,ug/L,Groundwater,0.2,0.2,609,27001
49,Aitkin,PCE,2002,ug/L,Groundwater,1.26,3.36,609,27001
50,Aitkin,PCE,2003,ug/L,Groundwater,0.2,0.2,609,27001
51,Aitkin,PCE,2004,ug/L,Groundwater,0.2,0.2,609,27001
52,Aitkin,PCE,2005,ug/L,Groundwater,0.2,0.2,681,27001
53,Aitkin,PCE,2006,ug/L,Groundwater,0.2,0.2,681,27001
54,Aitkin,PCE,2007,ug/L,Groundwater,0.2,0.2,681,27001
55,Aitkin,PCE,2008,ug/L,Groundwater,0.2,0.2,681,27001
